"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"2",1,"Lamar Jackson",BAL,"13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"3",1,"Drake Maye",NE,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"4",2,"Joe Burrow",CIN,"6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"5",2,"Jayden Daniels",WAS,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"6",2,"Jalen Hurts",PHI,"10","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+1"
"7",3,"Justin Herbert",LAC,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"8",3,"Caleb Williams",CHI,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3"
"9",3,"Jaxson Dart",NYG,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"10",3,"Trevor Lawrence",JAC,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"11",3,"Dak Prescott",DAL,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"12",3,"Brock Purdy",SF,"8","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+1"
"13",3,"Patrick Mahomes II",KC,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"14",4,"Bo Nix",DEN,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"15",4,"Matthew Stafford",LAR,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"16",4,"Jared Goff",DET,"6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"17",4,"Kyler Murray",MIN,"6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"18",4,"Jordan Love",GB,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"19",4,"Baker Mayfield",TB,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"20",4,"Tyler Shough",NO,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"21",4,"Malik Willis",MIA,"6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"22",5,"C.J. Stroud",HOU,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"23",5,"Sam Darnold",SEA,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"24",5,"Cam Ward",TEN,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"25",5,"Bryce Young",CAR,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"26",5,"Daniel Jones",IND,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"",5
"27",5,"Jacoby Brissett",ARI,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"28",5,"Geno Smith",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
"29",5,"Fernando Mendoza",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-2"
"30",5,"Michael Penix Jr.",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+3"
"31",5,"Tua Tagovailoa",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","0"
"32",5,"Aaron Rodgers",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-4"
"33",5,"Shedeur Sanders",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
