"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Trey McBride",ARI,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"2",1,"Brock Bowers",LV,"13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"3",1,"Colston Loveland",CHI,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"4",1,"Tyler Warren",IND,"13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"5",2,"Harold Fannin Jr.",CLE,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"6",2,"Tucker Kraft",GB,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"7",2,"Kyle Pitts Sr.",ATL,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"8",2,"Sam LaPorta",DET,"6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"9",3,"Travis Kelce",KC,"5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"10",3,"Jake Ferguson",DAL,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"11",3,"Dalton Kincaid",BUF,"7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"12",3,"George Kittle",SF,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"13",3,"Dallas Goedert",PHI,"10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"14",3,"Isaiah Likely",NYG,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"15",3,"Oronde Gadsden II",LAC,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"16",3,"Mark Andrews",BAL,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"17",3,"Juwan Johnson",NO,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"18",4,"Brenton Strange",JAC,"7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"19",4,"Hunter Henry",NE,"11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"20",4,"Chig Okonkwo",WAS,"7","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-2"
"21",4,"Dalton Schultz",HOU,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"22",4,"T.J. Hockenson",MIN,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"23",4,"Kenyon Sadiq",NYJ,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"24",4,"AJ Barner",SEA,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"25",4,"Gunnar Helm",TEN,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-1"
"26",5,"David Njoku",LAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+2"
"",5
"27",5,"Terrance Ferguson",LAR,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+4"
"28",5,"Cade Otton",TB,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-1"
"29",5,"Pat Freiermuth",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-3"
"30",5,"Mason Taylor",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+9"
"31",5,"Eli Stowers",PHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
"32",5,"Colby Parkinson",LAR,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-2"
"33",5,"Theo Johnson",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+18"
"34",5,"Evan Engram",DEN,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+9"
"35",5,"Max Klare",LAR,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+23"
"36",5,"Oscar Delp",NO,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+1"
