"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"2",1,"Puka Nacua",LAR,"11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","0"
"3",1,"Jaxon Smith-Njigba",SEA,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"4",2,"Amon-Ra St. Brown",DET,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"5",2,"CeeDee Lamb",DAL,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"6",2,"Justin Jefferson",MIN,"6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"7",2,"Drake London",ATL,"11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"8",2,"Nico Collins",HOU,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"9",3,"A.J. Brown",NE,"11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"10",3,"Chris Olave",NO,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"11",3,"George Pickens",DAL,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"12",3,"Malik Nabers",NYG,"8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"13",3,"Rashee Rice",KC,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"14",3,"Tetairoa McMillan",CAR,"5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"15",3,"Garrett Wilson",NYJ,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"16",3,"DeVonta Smith",PHI,"10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"17",4,"Tee Higgins",CIN,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"18",4,"Ladd McConkey",LAC,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"19",4,"Zay Flowers",BAL,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"20",4,"Jaylen Waddle",DEN,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5"
"21",4,"Terry McLaurin",WAS,"7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"22",4,"Luther Burden III",CHI,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"23",4,"Emeka Egbuka",TB,"10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3"
"24",4,"Davante Adams",LAR,"11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-2"
"25",4,"Mike Evans",SF,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"26",5,"DJ Moore",BUF,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"",5
"27",5,"Jameson Williams",DET,"6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3"
"28",5,"Christian Watson",GB,"11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"29",5,"Rome Odunze",CHI,"10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
