"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","NOTES"
"1",1,"Bijan Robinson",ATL,"RB1","11","Last year, Bijan Robinson was the RB2 in fantasy points per game. For most of the season, he was pacing towards a 1,000-yard season for rushing and receiving before tailing off at the end of the season (820 receiving yards). Robinson was also crushed by the heavy usage of Tyler Allgeier near the goalline. Allgeier finished with eight rushing touchdowns, while Robinson had only 11 total touchdowns. Robinson had a pitiful 49.3% red zone rushing share (per Fantasy Points Data). With Allgeier and the previous coaching staff gone, Robinson should enjoy more usage near paydirt in 2026. Robinson was incredibly efficient with his workload last season, which is a reflection of his insane talent. He finished top-three among running backs (minimum 100 carries, 20 targets) in receiving yards per game, target share, yards per route run, first downs per route run, missed tackles forced per attempt, and yards after contact per attempt. Robinson is my favorite bet to be the RB1 overall in 2026."
"2",1,"Jahmyr Gibbs",DET,"RB2","6","Last year, Jahmyr Gibbs finished as the RB3 in fantasy points per game. After Week 10, his usage got a massive bump as he didn’t play less than 68% of the snaps in any game for the rest of the season while averaging 20 touches and 114.9 total yards pre game. This stretch of games from Weeks 11-18 also coincided with Sam LaPorta’s absence, which increased Gibbs’ passing game usage. In Weeks 1-10, Gibbs had a 12.7% target share, 25.2 receiving yards per game, and an 11.1% first-read share (per Fantasy Points Data). In Weeks 11-18, Gibbs saw a huge increase in work through the air without LaPorta, with a 19% target share, 48.6 receiving yards per game, and a 19.6% first-read share. Gibbs led all running backs in those statistical categories in the final eight games of the season. Gibbs is in the running for RB1 overall for 2026, but if the rest of the weapons for Detroit remain healthy all season, it could be tough for him to do so. I still expect him to be a top-three back this season who is insanely efficient with his passing game and early down work. Last year, he ranked ninth in explosive run rate and third in missed tackles forced per attempt. Gibbs will and should be a top 3-5 pick in every fantasy draft this year."
"3",1,"Ja'Marr Chase",CIN,"WR1","6","Ja’Marr Chase had another stellar season last year. He was the WR3 in fantasy points per game while finishing sixth in red zone targets and 18th in deep targets (tied). Again this season, Chase will lead an offense that will live and die by their passing game. Last year, Cincy was third in neutral passing rate and fifth in red zone passing rate. I don’t see either of those numbers changing much in 2026 with Joe Burrow back under center. Last year, Chase remained a volume and efficiency monster, ranking third in target share (30.2%) and receiving yards per game (88.3), 18th in yards per route run (2.30), 14th in first downs per route run (0.119), and third in first-read share (40.3%, per Fantasy Points Data). Among 109 qualifying receivers, he was ninth in separation score and 23rd in route win rate. Chase has WR1 overall upside again this season."
"4",1,"Puka Nacua",LAR,"WR2","11","Last year, Puka Nacua took Ja’Marr Chase’s throne as the WR1 in fantasy points per game, and he could repeat as the top dog this year among wide receivers. Last year, Nacua was third in raw target volume, first in receptions, second in receiving yards, 23rd in deep targets, and 12th in red zone targets (tied). Nacua was fourth in target share (28.8%), first in receiving yards per game (107.2), first in yards per route run (3.85), and fourth in first-read share (37.5%, per Fantasy Points Data). If all of that wasn’t enough, he was also sixth-best in separation and route win rate. Nacua is a volume-gobbling stud who could easily repeat as the WR1 overall if Matthew Stafford keeps dealing at an MVP (or near) level in 2026."
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","Last year, Jaxon Smith-Njigba stepped up and put up what might be a career-best season for him when it’s all said and done. I’m not saying that he will definitively fall off, but replicating his 2025 season will be tough no matter how you slice it. Last year, he posted the seventh-most receiving yards ever in a single season (1,793) and 119 receptions as the WR2 in fantasy points per game. He had 44.1% of Seattle’s receiving yards, which was easily the highest mark in the NFL among receivers by a staggering 6.2%. The next closest was Puka Nacua with 37.9%. Smith-Njigba didn’t have any new faces added to this Seattle passing attack in the offseason to threaten his usage at all, and he still has Sam Darnold under center, but we’ll have to see how much losing Klint Kubiak impacts this offense. That loss won’t tank his season, but it’s a concern that has to be brought up. Last year, Smith-Njigba ranked first in target share (32.6%), second in receiving yards per game (105.5), second in yards per route run (3.74), and first in first-read share (44.6%, per Fantasy Points Data). Smith-Njigba is a top 3-5 fantasy receiver with an extremely high ceiling and elite floor."
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","Amon-Ra St. Brown continued his remarkable consistency in 2025, finishing as a top-3 fantasy WR for the third straight season. The Lions star once again dominated high-value usage, leading the NFL in red-zone targets. Even with Detroit transitioning to a new offensive coordinator in 2026, St. Brown’s elite target share and reliable weekly production give him one of the safest floor/ceiling combos at the position. Expect another top-5 fantasy finish from the Sun God."
"7",2,"Christian McCaffrey",SF,"RB3","8","Christian McCaffrey came storming back in his age-29 season to finish as the RB1 in fantasy points per game while leading the NFL with 413 touches. He also ranked second in total yards from scrimmage behind only Bijan Robinson. McCaffrey remained amazing through the air, leading backs with a 21.3% target share, 54.4 receiving yards per game, and 0.103 first downs per route run (per Fantasy Points Data). After another high-volume season in the bag, and with his age getting close to the danger zone, McCaffrey feels like a risky pick again that could produce league-winning results if he stays healthy. At this point, San Francisco isn’t decreasing his workload. They can talk about it all they want yearly, but it’s not happening. Outside of the concerns that I’ve already stated, McCaffrey’s declining rushing efficiency is a worry. Last year, among 49 qualifying backs, McCaffrey ranked 35th in explosive run rate, 26th in missed tackle rate, and 40th in yards after contact per attempt. Those numbers are worrisome, but again, they are thwarted by his volume weekly and his passing game role. McCaffrey could easily post another RB1 overall season in 2026, or he could get dinged up and miss time, thus crushing your team. It’s not difficult to see either outcome for this upcoming season."
"8",2,"CeeDee Lamb",DAL,"WR5","14","CeeDee Lamb took a step back in 2025, as injuries and the arrival of George Pickens cut into both his target dominance and touchdown production. Lamb finished as the WR15 on a per-game basis, averaging 76.9 receiving yards per game, but his weekly ceiling wasn’t nearly as consistent alongside Pickens. Still, Lamb remains one of fantasy football’s safest WR1 options attached to Dak Prescott, especially considering his elite production from 2023-2024. Even after a relatively disappointing season by his standards, the combination of talent, volume, and offensive environment keeps Lamb firmly in the top tier of fantasy receivers."
"9",2,"Jonathan Taylor",IND,"RB4","13","Jonathan Taylor was the RB4 in fantasy points per game last year, but his season was a tale of two halves. With Daniel Jones (Weeks 1-13), he was the RB2 in fantasy points per game, averaging 21.7 touches and 132.1 total yards. After Jones was out of the lineup (Achilles), Taylor was the RB22 in fantasy points per game with 21.6 touches and 75.4 total yards per game. Last year, among 49 qualifying backs, Taylor was 17th in explosive run rate, 28th in missed tackle rate, and 13th in yards after contact per attempt. Jones is set to return this season, but the big question for Taylor and the Indy offense is how effective he’ll be in 2026 coming off the Achilles injury. Taylor should see plenty of volume this season to return top 15-20 production in fantasy, but if you’re drafting him with an RB1 price tag, it’s fair to wonder if he can be a top three back this season, with his quarterback’s play in question. Last year, Taylor was first in snap share, second in opportunity share, fourth in weighted opportunity, and second in red zone touches. I have more questions about his 2026 outlook than most, but he’s still a solid pick in 2026, even with the questions about Jones."
"10",2,"Justin Jefferson",MIN,"WR6","6","Justin Jefferson’s disappointing 2025 season was far more about quarterback dysfunction than any decline in talent. Even during a “down year,” Jefferson still commanded an elite target share, while poor QB play and brutal touchdown luck tanked his fantasy production. The arrival of Kyler Murray gives Minnesota’s superstar receiver a massive opportunity to rebound into the elite WR1 tier, where he has spent his entire career. Fantasy managers should treat Jefferson as a prime bounce-back candidate and one of the best values among first-round receivers in 2026 drafts."
"11",2,"James Cook III",BUF,"RB5","7","Well, so much for all of the regression talk about James Cook last year. Cook crushed all of the haters, improving his stock as the RB6 in fantasy points per game. He led the NFL in rushing yards (1,621) while finishing third in rushing attempts and sixth in rushing touchdowns (tied). Cook had 14 total touchdowns compared to the 18 that he spiked in the previous season. Cook remained extremely efficient as a rusher, ranking 15th in explosive run rate and 11th in yards after contact per attempt (per Fantasy Points Data). His passing game usage was nearly identical to the previous season, with 40 targets (38 targets in 2024) and 8.8 yards per reception (8.1 in 2024). We can quibble about where Cook sits in the RB1 rankings in 2026, but he remains a rock-solid RB1 in one of the best offenses in the NFL."
"12",3,"Drake London",ATL,"WR7","11","Drake London was in the middle of a top-3 finish through 9 games before injuries cut short his 2025 season, finishing top-10 in fantasy points per game while dominating targets in Atlanta’s offense. The Falcons’ WR1 posted elite production alongside Michael Penix Jr., and there’s little threat to his massive target share entering 2026. Even if Atlanta opens the year with Tua Tagovailoa under center while Penix recovers, London’s role as the focal point of the passing attack should remain unchanged. With volume, talent, and red-zone usage all working in his favor, London profiles as a top-tier fantasy WR1 once again."
"13",3,"Ashton Jeanty",LV,"RB6","13","Ashton Jeanty will be seen as a disappointment for fantasy managers exiting his rookie season. It wasn’t a failure, but you can make the argument that, because of his talent and the hype, it didn’t live up to lofty expectations. Jeanty was the RB15 in fantasy points per game, finishing with 321 touches and 1,321 total yards. He ranked fifth in snap share, first in opportunity share, seventh in weighted opportunities, and 15th in red zone touches. Among 49 qualifying backs, Jeanty ranked 16th in missed tackle rate and 17th in yards after contact per attempt (per Fantasy Points Data). The ecosystem surrounding Jeanty stunk. The Raiders were 31st in red zone scoring attempts per game and 30th in yards per play. Among those 49 qualifying backs previously, Jeanty had the second-fewest yards before contact per attempt (1.28), and 65% of his rushing yards came after first contact. With Klint Kubiak in town, Fernando Mendoza or Kirk Cousins at the helm, a healthy Brock Bowers, and improved blocking up front, Jeanty could be poised to post a strong RB1 season in his second season."
